dataset,target_size,algorithm,time,oa,aa,k
Indian Pines,5,Linspacer,0.0,0.7517564402810304,0.7182969607893226,0.7152170278569658
Indian Pines,5,BS-Net-FC,35.1,0.6420374707259954,0.5355840823843139,0.5841158736186036
Indian Pines,5,Zhang et al.,96.23,0.7081186572989852,0.6491020624800121,0.6629861232658858
Indian Pines,5,BSDR,4.57,0.7747072599531616,0.7508239940898769,0.7418320478799123
Indian Pines,10,Linspacer,0.0,0.8172911787665885,0.7936380758382306,0.7913009317376083
Indian Pines,10,BS-Net-FC,35.1,0.7379000780640125,0.7045131729097633,0.7006562209735694
Indian Pines,10,Zhang et al.,96.23,0.7929352068696331,0.7831505903744634,0.7632621954158691
Indian Pines,10,BSDR,4.66,0.8220921155347385,0.814871666853924,0.7967679851419318
Indian Pines,15,Linspacer,0.0,0.826424668227947,0.8195696859176886,0.8020115693034926
Indian Pines,15,BS-Net-FC,35.1,0.7615534738485558,0.7315630766846889,0.7278731316903777
Indian Pines,15,Zhang et al.,96.23,0.7979703356752538,0.7881050854367817,0.7693899625729939
Indian Pines,15,BSDR,4.52,0.8359484777517565,0.833986248011923,0.8129385155523547
Indian Pines,20,Linspacer,0.0,0.806128024980484,0.800686558873745,0.7790299688324559
Indian Pines,20,BS-Net-FC,35.1,0.7975409836065573,0.7869929726004409,0.7689967926336753
Indian Pines,20,Zhang et al.,96.23,0.804176424668228,0.8046636147518621,0.7765644422938796
Indian Pines,20,BSDR,4.6,0.8355191256830603,0.8431382976341043,0.8125116128983221
Indian Pines,25,Linspacer,0.0,0.836104605776737,0.8320084736246139,0.8130795331688379
Indian Pines,25,BS-Net-FC,35.1,0.8131537861046059,0.791255860678338,0.7867561702215755
Indian Pines,25,Zhang et al.,96.23,0.8162763466042154,0.8260368914961136,0.7904729984113641
Indian Pines,25,BSDR,4.44,0.8482045277127245,0.8542563677693632,0.8269891079711114
Indian Pines,30,Linspacer,0.0,0.8250975800156128,0.803555348503415,0.8005362760906317
Indian Pines,30,BS-Net-FC,35.1,0.8214285714285714,0.8026548144569453,0.7962991277784388
Indian Pines,30,Zhang et al.,96.23,0.8282982045277126,0.8352646178918522,0.8042089266961152
Indian Pines,30,BSDR,4.46,0.8536299765807962,0.8509840585251037,0.8331851413526195
